Barco.Marea.Lance;Fecha;TRY;Nº anzuelos;Longitud L.M.(m);Material L.M (mm);Nº Tramos;Long. Tramo (m);Nº anzuelos Tramos;Long Unidad;Nº Anz;Distancia Brazoladas;Long Rabiza-bornoi;Long.Brazolada;Calibre Brazolada (mm);Anzuelos;Carnada1;Talla Carn1 (cm);CALIBRE Carn1 (ind/kg);peso medio individuo Carn1 (g);Carnada2;Tall Carn2 (cm);CALIBRE Carn2 (ind/kg);peso medio individuo Carn2 (g)
OC_01_01;13/12/2021;2400;2400;5550;2.5;30;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_02;13/12/2021;1600;1600;3700;2.5;20;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_03;14/12/2021;1920;1920;4440;2.5;24;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_04;14/12/2021;2560;2560;5920;2.5;32;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_05;15/12/2021;2000;2000;4625;2.5;25;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_06;15/12/2021;2000;2000;4625;2.5;25;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_07;16/12/2021;1440;1440;3330;2.5;18;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_08;16/12/2021;2880;2880;6660;2.5;36;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
OC_01_09;17/12/2021;3840;3840;8880;2.5;48;185;80;60;20;3;7.2;2;0.65;1,5*1,3;MAZ;trozos;;;PIL;14;;
SS_01_01;11/12/2021;1560;1560;6000;1.8;12;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_01_02;11/12/2021;1690;1690;6500;1.8;13;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_01_03;12/12/2021;1950;1950;7500;1.8;15;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_01_04;12/12/2021;1690;1690;6500;1.8;13;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_01_05;13/12/2021;3510;3510;13500;1.8;27;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_01_06;14/12/2021;2340;2340;9000;1.8;18;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_01;20/12/2021;3250;3250;12500;1.8;25;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_02;21/12/2021;1690;1690;6500;1.8;13;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_03;21/12/2021;1560;1560;6000;1.8;12;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_04;22/12/2021;910;910;3500;1.8;7;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_05;22/12/2021;1300;1300;5000;1.8;10;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_06;22/12/2021;1040;1040;4000;1.8;8;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_07;23/12/2021;1040;1040;4000;1.8;8;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
SS_02_08;23/12/2021;2080;2080;8000;1.8;16;500;130;54;15;3.6;1.8;1.8;0.65;1,5*1,3;MAZ;trozos;3;333;PIL;;38;26
